Irini Bachlitzanaki
Irvin Pascal
Isatu Nyalah
Isi Trapido
Isis Zhané Taylor-Hudson
Isla Cooper
Isobel Brigham
Isobel Scott-Malden
Ithell Colquhoun
Ivanka Kutner
Iwan Parry
Izabella de Aranda
Jack Bilbo
Jack Hilton
Jack Hughes
Jack Latham
Jack McConville
Jack Pender
Jacob Diboum
Jacob Epstein%
Jacob van der Beugel
Jacqueline Pietersen
Jacqueline Seddon
Jacqueline Taber
Jacques Burlot
Jake Garfield
James Bartholomew
James Beattie Michie
James Brereton
James Butler
James Cowie
James Fitton
James Gunn
James Hart Dyke
James Hugonin
James Humbert Craig
James Jessiman
James Kirkman
James Lawrence Isherwood
James Lynch
James McIntosh Patrick
James McQueen
James Morrison
James Radcliffe
James Sibley
James Tower
James Vaulkhard
James Wedge
James William Murray
Jamie Boyd 
Jamie Gallagher
Jan Henderikse
Jan Kalab
Jan Valik
Janaina Tschäpe
Jane Corsellis
Jane Dowling
Jane Evelyn Atwood
Jane McKeating
Jane Simone Bussy
Janine Niépce
János Szász
Jason Bowyer
Jasper Galloway
Jayne Leahy
Jean Carrau
Jean Dieuzaide
Jean Gaumy
Jean Moral
Jean-Baptiste Huynh
Jean-Claude Gautrand
Jean-Claude Mezieres
Jean-François Bauret
Jean-Louis Brunati
Jean-Loup Sieff
Jean-Pierre Sudre
Jean-René Hissard
Jeanette Lassen
Jeanne Maze
Jeanne Puchol
Jeff Harris
Jeffrey Camp
Jeffrey Hoare
Jeffrey Smart
Jeffrey Steele
Jeka Kemp
Jemima Murphy
Jen Roper
Jenkin van Zyl
Jennifer Ann Summers
Jennifer Di Costanzo
Jennifer Jones
Jennifer McRae
Jennifer Nieuwland
Jeremy Duncan
Jeremy Moon
Jill Berelowitz
Jim Mathieson
Jim McLean
Jim Naughten
Jo Self
Jo Spence
Joan Warburton
Joana Simães
Joannis Avramidis
Joe Bucklow
Joe Machine
John A. Blakey
John Aldridge
John Allin
John Armstrong
John Arnesby Brown
John Austin
John Banting
John Batho
John Blackburn
John Brenton
John Brown
John Buckland Wright
John Byrne
John Caple
John Claridge
John Davies
John Davies (1946)
John Eagle
John Elwyn
John Gregory King
John Hoskin
John Houston
John Hubbard
John Jobson
John Kingsley
John Lidzey
John McGhie
John Mclean
John Melville
John Miller
John Minton
John Northcote Nash
John Petts
John Randall Bratby
John Riddy
John Ryan
John Sprakes
John Stanton Ward
John Steven Dews
John Stoddart
John Strickland Goodall
John Sutton
John Tunnard
John Wolseley
John Wonnacott
John Wright
Johnny Dewe Mathews
Jon Burgerman
Jonas Bendiksen
Jonathan Crawford
Jonathan Knight
Jonathan Parker
Jonathan Probert
Jonathan Warrender
Jonathan Yeo
Jordy Kerwick
Jose Escofet
Joseph Appleyard
Joseph Black
Joseph Ijoyemi
Joseph McKenzie
Joseph Murphy
Joseph Southall
Josephine Trotter
Joshua Armitage 
Joshua Donkor
Joshua Fay
Joshua Levine
Josse Davis
Joumana Medlej
Joy Laville
Joyce Haddon
Joyce van der Hoeven
Jozsef Kover
J.S. Cartier
Judith Holmes Drewry
Judy Joel
Julia Heseltine
Julia Pomeroy
Julia Sorrell
Julian Bailey
Julian Barrow
Julian Opie
Julian Schwarz
Julian Trevelyan
Julianne Harvey
Julie Ann Bull
Julie Barnes
Julie Held
Julien Delval
Juno Calypso
Justin Mortimer
Justine Smith
K Blick
Kaja Stumpf
Karen Armitage
